Product Name,Product Description
Smart watch,"Multi-sport Bluetooth smartwatch featuring real-time optical heart rate tracking, step counter, sleep quality analysis, and calorie monitoring. Equipped with a bright color touchscreen, IP68 water-resistant casing, and smart notifications for calls, texts, and app alerts with up to 7-day battery life."
Perfect Fitness Perfect Rip Deck,All-in-one portable bodyweight training platform featuring rotating push-up handles and an expanding track for abdominal rollouts and chest flyes. Built with heavy-duty steel tracks and ergonomic rubberized grips to maximize muscle engagement while reducing wrist and joint strain.
Under Armour Girls' Toddler Spine Surge Runni,"Lightweight toddler running sneakers engineered with Under Armour's signature Spine chassis for lightweight cushioning and structural support. Features a breathable mesh upper, adjustable hook-and-loop strap closure, and non-marking rubber outsole pods for active indoor and outdoor play."
Nike Men's Dri-FIT Victory Golf Polo,"Classic performance golf polo crafted from 100% recycled polyester Dri-FIT fabric that actively pulls sweat away from the skin. Features a ribbed knit collar, standard relaxed fit, 3-button placket, and rolled-forward shoulder seams for an unrestricted golf swing."
Under Armour Men's Compression EV SL Slide,Post-workout recovery slide sandal engineered with an ultra-cushioned EVA foam footbed and an anatomical contour design. Features an adjustable synthetic strap with soft foam lining and durable traction grooves on the outsole for wet locker rooms and poolside comfort.
Under Armour Women's Micro G Skulpt Running S,"High-performance women's road running shoe featuring full-length Micro G foam cushioning that turns cushioned landings into explosive takeoffs. Built with lightweight breathable mesh, molded 4D Foam footbed conforming to the foot, and solid rubber traction in high-impact zones."
Nike Men's Free 5.0+ Running Shoe,Natural-motion running shoe combining low-profile cushioning with deep hexagonal flex grooves for barefoot-like flexibility. Incorporates dynamic Flywire cables integrated with the laces for a snug midfoot lockdown and an engineered mesh upper for maximum ventilation.
Glove It Women's Mod Oval 3-Zip Carry All Gol,"Fashionable and functional women's golf accessory bag featuring Glove It's signature retro Mod Oval graphic pattern. Includes three individual zippered compartments for organizing golf tees, golf balls, smartphone, and personal cosmetics, complete with a detachable shoulder strap and wristlet."
Bridgestone e6 Straight Distance NFL San Dieg,"Officially licensed NFL golf balls featuring the San Diego Chargers team insignia. Engineered with a soft 3-piece construction, anti-side-spin inner layer, and Surlyn cover designed to eliminate slices and hooks while delivering soft feel and maximum straight distance off the tee."
Columbia Men's PFG Anchor Tough T-Shirt,"Heavy-duty Performance Fishing Gear (PFG) crewneck tee crafted from a durable, quick-drying cotton-polyester jersey blend. Designed with an offshore anchor graphic on the back, left chest logo, and UPF sun protection for long days out on the water or dock."
